test_id,adult_males,subadult_males,adult_females,juveniles,pups
312,5,4,26,6,54
313,5,4,6,1,25
314,5,4,26,1,11
315,5,4,107,16,155
316,5,4,49,17,98
317,5,4,10,2,9
318,5,4,22,3,4
319,5,4,3,2,3
320,5,4,6,15,5
321,5,4,1,15,3
322,5,4,59,11,155
323,5,4,7,1,16
324,5,4,26,15,11
325,5,4,26,15,1
326,5,4,26,15,11
327,5,4,26,15,11
328,5,4,26,15,11
329,5,4,2,15,1
330,5,4,7,2,8
331,5,4,10,5,14
332,5,4,5,15,8
333,5,4,2,3,1
334,5,4,127,66,104
335,5,4,26,15,11
336,5,4,15,4,16
337,5,4,120,32,165
338,5,4,11,3,14
339,5,4,26,15,11
340,5,4,92,24,138
341,5,4,79,16,138
342,5,4,1,1,2
343,5,4,5,1,7
344,5,4,109,38,206
345,5,4,31,4,53
346,5,4,6,15,5
347,5,4,1,15,1
348,5,4,26,15,11
349,5,4,1,15,1
350,5,4,2,1,6
351,5,4,14,1,18
352,5,4,26,1,1
353,5,4,20,20,43
354,5,4,27,3,48
355,5,4,2,15,2
356,5,4,3,15,11
357,5,4,18,3,36
358,5,4,26,15,11
359,5,4,10,1,4
360,5,4,16,15,38
361,5,4,72,21,198
362,5,4,3,15,3
363,5,4,1,15,11
364,5,4,33,6,68
365,5,4,26,1,11
366,5,4,3,15,11
367,5,4,1,1,3
368,5,4,12,15,12
369,5,4,1,3,4
370,5,4,5,15,12
371,5,4,15,3,45
372,5,4,26,15,11
373,5,4,2,1,9
374,5,4,4,15,11
375,5,4,30,5,28
376,5,4,127,38,161
377,5,4,9,15,18
378,5,4,2,1,4
379,5,4,26,15,11
380,5,4,5,1,10
381,5,4,7,1,15
382,5,4,34,14,58
383,5,4,26,15,11
384,5,4,1,15,11
385,5,4,22,1,12
386,5,4,190,75,459
387,5,4,7,4,16
388,5,4,26,15,11
389,5,4,3,15,11
390,5,4,9,1,12
391,5,4,26,15,3
392,5,4,7,15,8
393,5,4,26,15,11
394,5,4,13,6,17
395,5,4,4,15,2
396,5,4,41,12,45
397,5,4,23,7,49
398,5,4,68,44,226
399,5,4,47,9,46
400,5,4,26,15,11
401,5,4,6,2,2
402,5,4,56,12,106
403,5,4,12,16,31
404,5,4,15,12,44
405,5,4,1,15,1
406,5,4,2,15,1
407,5,4,2,15,3
408,5,4,26,15,11
409,5,4,1,15,4
410,5,4,56,16,82
411,5,4,18,9,32
412,5,4,26,15,11
413,5,4,60,14,92
414,5,4,7,15,8
415,5,4,10,5,11
416,5,4,56,13,57
417,5,4,81,56,95
418,5,4,26,15,11
419,5,4,8,2,1
420,5,4,2,15,8
421,5,4,4,15,5
422,5,4,8,2,9
423,5,4,26,15,11
424,5,4,26,15,2
425,5,4,29,23,84
426,5,4,8,3,24
427,5,4,26,15,2
428,5,4,10,3,12
429,5,4,2,15,11
430,5,4,46,14,73
431,5,4,44,15,110
432,5,4,54,40,71
433,5,4,80,29,94
434,5,4,8,15,12
435,5,4,6,1,8
436,5,4,26,15,11
437,5,4,196,77,233
438,5,4,1,15,11
439,5,4,13,15,14
440,5,4,7,2,5
441,5,4,26,15,11
442,5,4,11,7,27
443,5,4,5,6,15
444,5,4,26,15,11
445,5,4,17,1,15
446,5,4,5,1,1
447,5,4,21,15,20
448,5,4,3,15,2
449,5,4,19,7,38
450,5,4,8,1,6
451,5,4,26,15,11
452,5,4,3,1,8
453,5,4,1,15,11
454,5,4,19,3,14
455,5,4,42,8,41
456,5,4,15,2,20
457,5,4,29,2,36
458,5,4,20,5,36
459,5,4,26,15,2
460,5,4,26,15,11
461,5,4,1,15,2
462,5,4,6,15,13
463,5,4,8,15,3
464,5,4,22,1,43
465,5,4,4,2,14
466,5,4,6,4,13
467,5,4,9,3,8
468,5,4,42,10,75
469,5,4,4,1,4
470,5,4,13,7,30
471,5,4,6,1,5
472,5,4,26,15,11
473,5,4,61,8,51
474,5,4,29,10,117
475,5,4,26,15,2
476,5,4,26,15,11
477,5,4,7,15,9
478,5,4,1,15,1
479,5,4,7,15,4
480,5,4,14,3,9
481,5,4,4,1,4
482,5,4,26,1,11
483,5,4,26,15,11
484,5,4,60,9,46
485,5,4,129,50,177
486,5,4,8,2,7
487,5,4,182,68,354
488,5,4,26,15,11
489,5,4,22,3,13
490,5,4,26,15,11
491,5,4,64,28,65
492,5,4,26,15,11
493,5,4,8,1,5
494,5,4,12,2,22
495,5,4,26,15,2
496,5,4,38,16,78
497,5,4,1,15,1
498,5,4,4,1,11
499,5,4,9,1,7
500,5,4,13,5,20
501,5,4,9,15,36
502,5,4,31,8,22
503,5,4,26,15,11
504,5,4,4,1,2
505,5,4,5,1,11
506,5,4,26,15,2
507,5,4,18,10,33
508,5,4,5,15,4
509,5,4,1,2,7
510,5,4,29,5,51
511,5,4,26,15,11
512,5,4,26,15,11
513,5,4,11,4,19
514,5,4,3,15,11
515,5,4,13,7,16
516,5,4,11,2,13
517,5,4,26,15,1
518,5,4,26,15,11
519,5,4,1,15,11
520,5,4,90,28,140
521,5,4,33,8,39
522,5,4,1,15,2
523,5,4,2,1,5
524,5,4,26,15,11
525,5,4,13,15,9
526,5,4,30,9,54
527,5,4,4,2,3
528,5,4,2,15,1
529,5,4,26,15,11
530,5,4,21,4,23
531,5,4,26,15,11
532,5,4,11,15,5
533,5,4,35,30,89
534,5,4,80,29,177
535,5,4,26,15,5
536,5,4,3,15,2
537,5,4,28,10,74
538,5,4,4,15,5
539,5,4,23,4,19
540,5,4,26,15,11
541,5,4,2,15,1
542,5,4,88,33,86
543,5,4,20,5,36
544,5,4,21,3,26
545,5,4,2,15,1
546,5,4,32,2,43
547,5,4,1,15,11
548,5,4,21,7,30
549,5,4,26,15,11
550,5,4,6,2,1
551,5,4,45,15,72
552,5,4,2,15,3
553,5,4,1,1,11
554,5,4,7,15,1
555,5,4,10,3,29
556,5,4,6,1,2
557,5,4,2,15,1
558,5,4,27,6,49
559,5,4,16,6,22
560,5,4,18,15,17
561,5,4,2,1,8
562,5,4,26,15,11
563,5,4,26,15,1
564,5,4,109,27,92
565,5,4,4,15,3
566,5,4,26,1,2
567,5,4,12,15,9
568,5,4,12,4,35
569,5,4,90,30,199
570,5,4,29,25,66
571,5,4,3,1,11
572,5,4,26,15,11
573,5,4,13,1,13
574,5,4,43,8,49
575,5,4,32,15,47
576,5,4,54,13,61
577,5,4,1,1,11
578,5,4,40,12,51
579,5,4,56,13,127
580,5,4,26,15,11
581,5,4,26,1,11
582,5,4,26,2,6
583,5,4,4,15,4
584,5,4,4,15,15
585,5,4,26,15,2
586,5,4,84,13,60
587,5,4,49,6,106
588,5,4,26,15,11
589,5,4,1,1,11
590,5,4,26,15,11
591,5,4,19,5,18
592,5,4,6,1,5
593,5,4,15,1,28
594,5,4,2,2,2
595,5,4,1,15,11
596,1,4,33,5,99
597,5,4,26,1,1
598,5,4,26,15,1
599,5,4,26,15,3
600,5,4,3,15,2
601,5,4,2,15,4
602,5,4,9,1,16
603,5,4,4,1,11
604,5,4,26,15,11
605,5,4,26,15,11
606,5,4,4,1,11
607,5,4,6,5,8
608,5,4,9,1,13
609,5,4,4,15,6
610,5,4,3,15,11
611,5,4,4,15,6
612,5,4,30,8,32
613,5,4,6,1,6
614,5,4,13,3,9
615,5,4,2,1,3
616,5,4,26,15,11
617,5,4,74,21,74
618,5,4,33,5,28
619,5,4,15,6,35
620,5,4,26,15,11
621,5,4,23,4,13
622,5,4,1,15,7
623,5,4,1,15,11
624,5,4,5,1,7
625,5,4,17,1,39
626,5,4,26,15,11
627,5,4,15,5,52
628,5,4,94,26,147
629,5,4,105,25,59
630,5,4,45,36,79
631,5,4,26,15,11
632,5,4,8,2,8
633,5,4,225,126,467
634,5,4,3,15,1
635,5,4,2,15,5
636,5,4,33,3,55
637,5,4,6,15,9
638,5,4,20,2,38
639,5,4,26,15,1
640,5,4,26,12,61
641,5,4,18,4,28
642,5,4,2,15,11
643,5,4,26,15,1
644,5,4,6,15,9
645,5,4,21,4,36
646,5,4,4,1,2
647,5,4,15,15,18
648,5,4,18,1,28
649,5,4,10,4,33
650,5,4,21,8,62
651,5,4,80,24,202
652,5,4,5,15,4
653,5,4,26,15,11
654,5,4,2,15,1
655,5,4,6,15,6
656,5,4,22,4,26
657,5,4,1,15,1
658,5,4,15,4,45
659,5,4,35,20,54
660,5,4,2,15,2
661,5,4,1,15,6
662,5,4,6,15,5
663,5,4,10,2,33
664,5,4,1,15,2
665,5,4,7,1,5
666,5,4,3,1,7
667,5,4,12,5,16
668,5,4,3,15,2
669,5,4,3,15,11
670,5,4,1,15,1
671,5,4,32,5,22
672,5,4,19,2,26
673,5,4,25,2,62
674,5,4,36,10,46
675,1,4,88,23,88
676,5,4,3,1,2
677,5,4,26,15,11
678,5,4,29,6,46
679,5,4,26,15,11
680,5,4,46,25,80
681,5,4,2,1,3
682,5,4,26,15,11
683,5,4,11,15,4
684,5,4,26,15,1
685,5,4,5,1,4
686,5,4,1,15,11
687,5,4,38,15,79
688,5,4,6,1,10
689,5,4,1,15,4
690,5,4,5,15,11
691,5,4,1,15,11
692,5,4,145,20,104
693,5,4,25,10,45
694,5,4,19,9,55
695,5,4,2,15,2
696,5,4,26,15,11
697,5,4,20,6,46
698,5,4,37,8,46
699,5,4,1,1,10
700,5,4,26,15,11
701,5,4,1,15,11
702,5,4,26,15,11
703,5,4,175,104,390
704,5,4,57,7,50
705,5,4,26,1,11
706,5,4,26,15,1
707,5,4,3,2,7
708,5,4,11,3,15
709,5,4,12,2,22
710,5,4,6,2,7
711,5,4,61,37,161
712,5,4,11,4,28
713,5,4,26,15,32
714,5,4,12,1,30
715,5,4,2,15,1
716,5,4,26,15,11
717,5,4,26,15,11
718,5,4,16,2,21
719,5,4,36,10,44
720,1,4,67,13,106
721,5,4,26,15,1
722,5,4,2,15,2
723,5,4,3,4,7
724,5,4,9,9,33
725,5,4,22,4,134
726,5,4,26,15,11
727,5,4,2,1,8
728,5,4,19,5,10
729,5,4,19,1,30
730,5,4,13,15,6
731,5,4,12,1,20
732,5,4,13,2,3
733,5,4,133,74,364
734,5,4,3,15,2
735,5,4,3,1,3
736,5,4,26,15,11
737,5,4,7,2,16
738,5,4,44,15,98
739,5,4,26,1,1
740,5,4,3,2,10
741,5,4,38,37,126
742,5,4,26,15,11
743,5,4,26,15,11
744,5,4,22,4,43
745,5,4,3,1,7
746,5,4,12,9,32
747,5,4,74,47,180
748,5,4,4,15,6
749,1,4,39,5,99
750,5,4,2,2,17
751,5,4,71,30,74
752,5,4,26,15,11
753,5,4,1,15,11
754,5,4,7,1,8
755,5,4,96,196,290
756,5,4,6,15,5
757,5,4,1,15,2
758,5,4,25,5,27
759,5,4,9,7,18
760,5,4,7,1,8
761,5,4,81,26,115
762,5,4,1,15,11
763,5,4,7,1,6
764,5,4,2,1,3
765,5,4,26,15,11
766,5,4,25,15,37
767,5,4,26,15,11
768,5,4,28,3,35
769,5,4,1,15,11
770,5,4,12,2,11
771,5,4,7,4,32
772,5,4,81,10,84
773,5,4,6,3,11
774,5,4,105,25,89
775,5,4,5,1,1
776,5,4,1,1,11
777,5,4,48,10,81
778,5,4,7,11,26
779,5,4,26,15,11
780,5,4,26,15,11
781,5,4,61,20,77
782,5,4,83,2,52
783,5,4,28,5,65
784,5,4,15,3,13
785,5,4,4,6,8
786,5,4,29,5,59
787,5,4,7,15,6
788,5,4,25,3,36
789,5,4,26,15,4
790,5,4,9,15,17
791,5,4,26,15,11
792,5,4,26,1,4
793,5,4,5,15,7
794,5,4,26,15,11
795,5,4,4,15,16
796,5,4,13,9,33
797,5,4,45,5,33
798,5,4,5,15,2
799,5,4,53,8,94
800,5,4,41,8,27
801,5,4,11,2,15
802,5,4,48,11,82
803,5,4,22,7,22
804,5,4,26,15,11
805,5,4,13,4,18
806,5,4,3,15,12
807,5,4,44,16,90
808,5,4,26,15,11
809,5,4,5,1,1
810,5,4,44,7,103
811,5,4,2,1,2
812,5,4,1,15,1
813,5,4,2,15,8
814,5,4,9,4,15
815,5,4,2,2,5
816,5,4,22,4,16
817,5,4,26,15,11
818,5,4,14,15,20
819,5,4,103,39,232
820,5,4,7,15,3
821,5,4,56,33,69
822,5,4,24,1,39
823,5,4,2,15,3
824,5,4,26,15,11
825,5,4,4,1,2
826,5,4,26,15,11
827,5,4,139,55,248
828,5,4,1,15,5
829,5,4,9,1,13
830,5,4,23,4,26
831,5,4,7,1,4
832,5,4,2,15,11
833,5,4,121,97,425
834,5,4,18,3,20
835,5,4,6,1,6
836,5,4,5,1,1
837,5,4,4,15,14
838,5,4,1,15,11
839,5,4,12,1,14
840,5,4,12,1,8
841,5,4,27,10,93
842,5,4,26,15,2
843,5,4,26,15,11
844,5,4,4,2,6
845,5,4,26,15,2
846,5,4,1,2,3
847,5,4,3,7,9
848,5,4,1,15,11
849,5,4,23,2,61
850,5,4,48,12,98
851,5,4,19,5,12
852,5,4,2,2,1
853,5,4,12,5,41
854,5,4,8,15,19
855,5,4,17,4,9
856,5,4,109,31,109
857,5,4,26,15,11
858,5,4,1,15,11
859,5,4,2,15,11
860,5,4,57,5,101
861,5,4,2,15,2
862,5,4,17,6,46
863,5,4,3,15,1
864,5,4,5,15,10
865,5,4,1,15,3
866,5,4,26,15,11
867,5,4,2,2,9
868,5,4,26,15,11
869,5,4,24,1,6
870,5,4,98,20,162
871,5,4,9,2,16
872,5,4,26,15,11
873,5,4,83,46,151
874,5,4,3,2,10
875,5,4,67,11,69
876,5,4,7,2,13
877,5,4,2,1,6
878,5,4,8,2,4
879,5,4,26,15,7
880,5,4,13,4,28
881,5,4,3,1,11
882,5,4,16,3,26
883,5,4,1,2,3
884,5,4,37,7,26
885,5,4,26,1,2
886,5,4,188,69,407
887,5,4,56,33,88
888,5,4,13,3,18
889,1,4,15,1,23
890,5,4,26,15,11
891,5,4,32,3,23
892,5,4,2,15,1
893,5,4,12,4,20
894,5,4,26,15,11
895,5,4,26,15,11
896,5,4,18,3,13
897,5,4,26,15,11
898,5,4,2,15,11
899,5,4,6,1,10
900,5,4,13,2,4
901,5,4,58,26,74
902,5,4,9,1,12
903,5,4,45,14,99
904,5,4,3,3,3
905,5,4,26,15,11
906,5,4,6,1,9
907,5,4,2,15,4
908,5,4,5,15,3
909,5,4,8,2,16
910,5,4,1,15,11
911,5,4,19,4,16
912,5,4,9,2,25
913,5,4,27,4,43
914,5,4,92,28,111
915,5,4,26,15,11
916,5,4,14,6,19
917,5,4,26,15,11
918,5,4,4,2,3
919,5,4,12,15,6
920,5,4,26,15,6
921,5,4,25,4,37
922,5,4,1,15,11
923,5,4,127,41,303
924,5,4,80,60,161
925,5,4,2,15,11
926,5,4,16,2,41
927,5,4,1,1,1
928,5,4,2,15,2
929,5,4,1,15,4
930,5,4,38,4,92
931,5,4,6,1,7
932,5,4,2,15,1
933,5,4,254,124,441
934,5,4,26,15,11
935,5,4,26,15,11
936,5,4,23,1,38
937,5,4,4,15,3
938,5,4,26,15,11
939,5,4,26,15,1
940,5,4,1,15,1
941,5,4,28,7,40
942,5,4,43,6,69
943,5,4,1,15,11
944,5,4,3,1,5
945,5,4,46,3,52
946,5,4,26,15,11
947,5,4,19,5,25
948,5,4,231,175,904
949,5,4,1,15,1
950,5,4,26,1,1
951,5,4,23,14,59
952,5,4,36,10,20
953,5,4,26,15,11
954,5,4,4,15,4
955,5,4,3,15,3
956,5,4,26,15,1
957,5,4,1,15,3
958,5,4,207,53,236
959,5,4,9,15,9
960,5,4,26,15,2
961,5,4,109,79,172
962,5,4,2,15,1
963,5,4,24,12,43
964,5,4,1,15,3
965,5,4,26,15,4
966,1,4,15,15,10
967,5,4,1,1,11
968,5,4,26,15,11
969,5,4,2,15,6
970,5,4,23,4,15
971,5,4,2,15,2
972,5,4,1,1,5
973,5,4,26,15,2
974,5,4,24,7,26
975,5,4,1,2,6
976,5,4,36,10,66
977,5,4,26,15,11
978,5,4,1,15,2
979,5,4,26,15,11
980,5,4,27,20,79
981,5,4,2,15,1
982,5,4,5,1,6
983,5,4,26,15,11
984,5,4,16,2,18
985,5,4,2,15,2
986,5,4,5,2,5
987,5,4,219,98,331
988,5,4,26,15,11
989,5,4,10,1,14
990,5,4,28,10,91
991,5,4,1,15,11
992,5,4,17,6,17
993,5,4,5,15,4
994,5,4,125,24,97
995,5,4,26,15,11
996,5,4,132,45,128
997,5,4,2,15,1
998,5,4,2,4,18
999,5,4,26,15,11
1000,5,4,28,6,61
1001,5,4,26,15,1
1002,5,4,18,2,9
1003,5,4,46,1,52
1004,5,4,60,19,135
1005,5,4,5,15,4
1006,5,4,1,2,2
1007,5,4,5,1,7
1008,5,4,9,1,6
1009,5,4,9,1,12
1010,5,4,123,29,171
1011,5,4,85,38,139
1012,5,4,53,10,76
1013,5,4,52,6,83
1014,5,4,7,15,15
1015,5,4,26,15,11
1016,5,4,26,15,11
1017,5,4,3,15,11
1018,5,4,8,15,7
1019,5,4,26,15,11
1020,5,4,1,15,2
1021,5,4,1,1,5
1022,5,4,5,15,4
1023,5,4,4,15,16
1024,5,4,26,15,11
1025,5,4,31,3,79
1026,5,4,44,3,12
1027,5,4,108,17,38
1028,5,4,4,1,5
1029,5,4,13,15,10
1030,5,4,38,15,57
1031,5,4,26,15,11
1032,5,4,7,2,6
1033,5,4,7,4,6
1034,5,4,5,1,4
1035,5,4,2,15,1
1036,5,4,29,3,52
1037,5,4,12,6,19
1038,5,4,1,15,3
1039,5,4,1,15,2
1040,5,4,1,1,11
1041,5,4,4,15,17
1042,5,4,16,6,24
1043,5,4,39,11,72
1044,5,4,8,2,8
1045,5,4,26,15,11
1046,5,4,26,4,15
1047,1,4,211,115,380
1048,5,4,12,15,14
1049,5,4,1,15,11
1050,1,4,138,135,598
1051,5,4,13,15,5
1052,5,4,3,2,6
1053,5,4,21,8,33
1054,5,4,4,4,12
1055,5,4,1,15,11
1056,5,4,24,3,24
1057,5,4,27,13,22
1058,5,4,13,12,19
1059,5,4,26,15,11
1060,5,4,71,24,177
1061,5,4,58,4,86
1062,5,4,16,15,15
1063,5,4,36,6,18
1064,5,4,26,15,11
1065,5,4,5,15,4
1066,5,4,14,3,11
1067,5,4,6,15,9
1068,5,4,1,15,1
1069,5,4,5,15,16
1070,5,4,26,15,11
1071,5,4,23,3,28
1072,5,4,26,15,11
1073,5,4,8,15,22
1074,5,4,6,1,14
1075,5,4,2,1,6
1076,5,4,26,15,11
1077,5,4,11,3,14
1078,5,4,1,3,14
1079,5,4,63,19,107
1080,5,4,47,28,88
1081,5,4,20,3,18
1082,5,4,39,14,61
1083,5,4,3,15,2
1084,5,4,11,7,36
1085,5,4,7,5,9
1086,5,4,2,2,4
1087,5,4,42,13,68
1088,5,4,7,1,5
1089,5,4,128,35,160
1090,5,4,48,12,63
1091,5,4,18,4,22
1092,5,4,13,13,43
1093,5,4,6,15,9
1094,5,4,9,15,4
1095,5,4,1,15,1
1096,5,4,11,2,11
1097,5,4,7,1,12
1098,5,4,11,2,13
1099,5,4,13,1,23
1100,5,4,1,15,1
1101,5,4,5,15,7
1102,5,4,61,20,94
1103,5,4,15,3,33
1104,5,4,30,11,15
1105,5,4,22,7,19
1106,5,4,7,15,5
1107,5,4,195,116,181
1108,5,4,38,8,40
1109,5,4,1,15,3
1110,5,4,50,6,51
1111,5,4,13,3,25
1112,5,4,26,15,11
1113,5,4,20,6,26
1114,5,4,26,15,11
1115,5,4,6,15,5
1116,5,4,1,15,11
1117,5,4,26,15,11
1118,5,4,41,15,94
1119,5,4,43,8,58
1120,5,4,16,4,51
1121,5,4,15,2,6
1122,5,4,194,82,262
1123,5,4,7,2,1
1124,5,4,6,5,4
1125,5,4,3,15,11
1126,5,4,8,15,7
1127,5,4,18,1,33
1128,5,4,5,2,6
1129,5,4,19,5,22
1130,5,4,85,33,71
1131,5,4,26,15,11
1132,5,4,30,8,26
1133,5,4,115,46,249
1134,5,4,108,24,127
1135,5,4,26,15,11
1136,5,4,27,15,28
1137,5,4,16,4,26
1138,5,4,3,15,8
1139,5,4,6,1,14
1140,5,4,7,1,17
1141,5,4,39,6,85
1142,5,4,26,15,11
1143,5,4,10,15,3
1144,5,4,111,64,290
1145,5,4,32,5,25
1146,5,4,61,17,99
1147,5,4,93,28,162
1148,5,4,1,15,2
